date,kind,label
2016-01-14,BI,BI RDG
2016-02-18,BI,BI RDG
2016-03-17,BI,BI RDG
2016-04-21,BI,BI RDG
2016-05-19,BI,BI RDG
2016-06-16,BI,BI RDG
2016-07-21,BI,BI RDG
2016-08-19,BI,BI RDG
2016-09-22,BI,BI RDG
2016-10-20,BI,BI RDG
2016-11-17,BI,BI RDG
2016-12-15,BI,BI RDG
2017-01-19,BI,BI RDG
2017-02-16,BI,BI RDG
2017-03-16,BI,BI RDG
2017-04-20,BI,BI RDG
2017-05-18,BI,BI RDG
2017-06-15,BI,BI RDG
2017-07-20,BI,BI RDG
2017-08-22,BI,BI RDG
2017-09-22,BI,BI RDG
2017-10-19,BI,BI RDG
2017-11-16,BI,BI RDG
2017-12-14,BI,BI RDG
2018-01-18,BI,BI RDG
2018-02-15,BI,BI RDG
2018-03-22,BI,BI RDG
2018-04-19,BI,BI RDG
2018-05-17,BI,BI RDG
2018-06-29,BI,BI RDG
2018-07-19,BI,BI RDG
2018-08-15,BI,BI RDG
2018-09-27,BI,BI RDG
2018-10-23,BI,BI RDG
2018-11-15,BI,BI RDG
2018-12-20,BI,BI RDG
2019-01-17,BI,BI RDG
2019-02-21,BI,BI RDG
2019-03-21,BI,BI RDG
2019-04-25,BI,BI RDG
2019-05-16,BI,BI RDG
2019-06-20,BI,BI RDG
2019-07-18,BI,BI RDG
2019-08-22,BI,BI RDG
2019-09-19,BI,BI RDG
2019-10-24,BI,BI RDG
2019-11-21,BI,BI RDG
2019-12-19,BI,BI RDG
2020-01-23,BI,BI RDG
2020-02-20,BI,BI RDG
2020-03-19,BI,BI RDG
2020-04-14,BI,BI RDG
2020-05-19,BI,BI RDG
2020-06-18,BI,BI RDG
2020-07-16,BI,BI RDG
2020-08-19,BI,BI RDG
2020-09-17,BI,BI RDG
2020-10-13,BI,BI RDG
2020-11-19,BI,BI RDG
2020-12-17,BI,BI RDG
2021-01-21,BI,BI RDG
2021-02-18,BI,BI RDG
2021-03-18,BI,BI RDG
2021-04-20,BI,BI RDG
2021-05-25,BI,BI RDG
2021-06-17,BI,BI RDG
2021-07-22,BI,BI RDG
2021-08-19,BI,BI RDG
2021-09-21,BI,BI RDG
2021-10-19,BI,BI RDG
2021-11-18,BI,BI RDG
2021-12-16,BI,BI RDG
2022-01-20,BI,BI RDG
2022-02-10,BI,BI RDG
2022-03-17,BI,BI RDG
2022-04-19,BI,BI RDG
2022-05-24,BI,BI RDG
2022-06-23,BI,BI RDG
2022-07-21,BI,BI RDG
2022-08-23,BI,BI RDG
2022-09-22,BI,BI RDG
2022-10-20,BI,BI RDG
2022-11-17,BI,BI RDG
2022-12-22,BI,BI RDG
2023-01-19,BI,BI RDG
2023-02-16,BI,BI RDG
2023-03-16,BI,BI RDG
2023-04-19,BI,BI RDG
2023-05-25,BI,BI RDG
2023-06-22,BI,BI RDG
2023-07-25,BI,BI RDG
2023-08-24,BI,BI RDG
2023-09-21,BI,BI RDG
2023-10-19,BI,BI RDG
2023-11-23,BI,BI RDG
2023-12-21,BI,BI RDG
2024-01-17,BI,BI RDG
2024-02-21,BI,BI RDG
2024-03-20,BI,BI RDG
2024-04-24,BI,BI RDG
2024-05-22,BI,BI RDG
2024-06-20,BI,BI RDG
2024-07-17,BI,BI RDG
2024-08-21,BI,BI RDG
2024-09-18,BI,BI RDG
2024-10-16,BI,BI RDG
2024-11-20,BI,BI RDG
2024-12-18,BI,BI RDG
2025-01-15,BI,BI RDG
2025-02-19,BI,BI RDG
2025-03-19,BI,BI RDG
2025-04-23,BI,BI RDG
2025-05-21,BI,BI RDG
2025-06-18,BI,BI RDG
2025-07-16,BI,BI RDG
2025-08-20,BI,BI RDG
2025-09-17,BI,BI RDG
2025-10-22,BI,BI RDG
2025-11-19,BI,BI RDG
2025-12-17,BI,BI RDG
