date,kind,label
2013-05-22,Political,Fed taper tantrum begins
2014-07-09,Political,Indonesia presidential election 2014
2016-11-08,Political,US presidential election (Trump)
2018-08-13,Political,2018 EM currency selloff
2019-04-17,Political,Indonesia presidential election 2019
2020-03-11,Political,WHO declares COVID-19 pandemic
2022-02-24,Political,Russia invades Ukraine
2022-03-16,Political,Fed begins 2022 hiking cycle
2024-02-14,Political,Indonesia presidential election 2024
2025-04-02,Political,US Liberation Day tariffs
