direction,start,end,start_rate,end_rate,pct_change
depreciation,2008-08-27,2008-11-24,9160.0,12550.0,37.01
depreciation,1999-06-28,1999-09-23,6614.05,8802.96,33.09
depreciation,2001-01-24,2001-04-25,9428.05,12000.41,27.28
depreciation,2000-04-14,2000-07-17,7607.0,9506.81,24.97
depreciation,2001-08-20,2001-11-15,8523.61,10623.8,24.64
appreciation,2001-05-23,2001-08-20,11417.67,8523.61,-25.35
appreciation,1999-03-26,1999-06-23,8868.04,6698.01,-24.47
appreciation,1999-09-23,1999-12-21,8802.96,7109.16,-19.24
appreciation,2009-03-05,2009-06-05,12125.0,9930.7,-18.1
appreciation,2002-03-01,2002-06-03,10101.16,8546.39,-15.39
